"original_value","curated_ontology_term","curated_ontology_term_id","curated_ontology_term_db","Notes"
"abdominalhernia","Hernia of the abdominal wall","HP:0004299","HP",NA
"acute_diarrhoea","acute diarrhea","DOID:0050140","DOID",NA
"ACVD","atherosclerosis","EFO:0003914","EFO",NA
"AD","Alzheimer's disease","EFO:0000249","EFO",NA
"adenocarcinoma","adenocarcinoma","EFO:0000228","EFO",NA
"adenoma","Adenoma","NCIT:C2855","NCIT",NA
"advancedadenoma","Adenoma","NCIT:C2855","NCIT",NA
"AR","Allergic rhinitis","HP:0003193","HP",NA
"arthritis","arthritis","EFO:0005856","EFO",NA
"AS","ankylosing spondylitis","EFO:0003898","EFO",NA
"ascaris_lumbricoides","Ascaris lumbricoides","NCIT:C122177","NCIT",NA
"ascites","Ascites","HP:0001541","HP",NA
"asthma","Asthma","NCIT:C28397","NCIT",NA
"BD","Behcet's syndrome","EFO:0003780","EFO",NA
"bronchitis","bronchitis","EFO:0009661","EFO",NA
"CAD","coronary artery disease","EFO:0001645","EFO",NA
"carcinoma","carcinoma","EFO:0000313","EFO",NA
"carcinoma_surgery_history","carcinoma","EFO:0000313","EFO","carcinoma,History of surgery (situation)"
"CD","Crohn's disease","EFO:0000384","EFO",NA
"CDI","clostridium difficile infection","EFO:0009130","EFO",NA
"cellulitis","cellulitis","EFO:0003035","EFO",NA
"cephalosporins","Cephalosporin Antibiotic","NCIT:C357","NCIT",NA
"cholera","Cholera","NCIT:C157812","NCIT",NA
"cholesterolemia","Hypercholesterolemia","HP:0003124","HP",NA
"chorioamnionitis","chorioamnionitis","EFO:0009948","EFO",NA
"cirrhosis","cirrhosis of liver","EFO:0001422","EFO",NA
"CMV","cytomegalovirus infection","EFO:0001062","EFO",NA
"coeliac","celiac disease","EFO:0001060","EFO",NA
"control","Study Control","NCIT:C142703","NCIT",NA
"cough","Cough","HP:0012735","HP",NA
"CRC","colorectal cancer","EFO:0005842","EFO",NA
"cystitis","cystitis","EFO:1000025","EFO",NA
"donor","Donor","NCIT:C48284","NCIT",NA
"entamoeba_histolytica","Entamoeba histolytica","NCIT:C122297","NCIT",NA
"fatty_liver","Fatty Liver","OMIT:0006456","OMIT",NA
"fever","Fever","HP:0001945","HP",NA
"few_polyps","Polyps","OMIT:0012094","OMIT",NA
"first_episode_schizofrenia","Schizophrenia","NCIT:C3362","NCIT","Schizophrenia,First episode (qualifier value)"
"FMT","Fecal Microbiota Transplantation","NCIT:C118643","NCIT",NA
"gangrene","gangrene","EFO:0008574","EFO",NA
"generic_diabetes","Diabetes Mellitus","NCIT:C2985","NCIT",NA
"gestational_diabetes","gestational diabetes","EFO:0004593","EFO",NA
"HBV","hepatitis B virus infection","EFO:0004197","EFO",NA
"HCV","Hepatitis C Infection","NCIT:C3098","NCIT",NA
"HDV","hepatitis D virus infection","EFO:0007304","EFO",NA
"healthy","Healthy","NCIT:C115935","NCIT",NA
"hepatitis","Hepatitis","HP:0012115","HP",NA
"HEV","hepatitis E virus infection","EFO:0007303","EFO",NA
"HF","Heart Failure","NCIT:C50577","NCIT",NA
"hookworm","Hookworm Infection","NCIT:C34702","NCIT",NA
"human gut microbiome","human gut microbiome","OHMI:0000020","OHMI",NA
"human microbiome","human microbiome","OHMI:0000002","OHMI",NA
"human skin microbiome interaction","human skin microbiome interaction","OHMI:0000121","OHMI",NA
"hypercholesterolemia","Hypercholesterolemia","HP:0003124","HP",NA
"hypertension","hypertension","EFO:0000537","EFO",NA
"IBD","Inflammatory Bowel Disease","NCIT:C3138","NCIT",NA
"IGT","abnormal glucose tolerance","EFO:0002546","EFO",NA
"Indeterminate_colitis","indeterminate colitis","EFO:1000034","EFO",NA
"infectiousgastroenteritis","gastroenteritis","EFO:1001463","EFO",NA
"intestinal microbiome","Intestinal Flora","NCIT:C93019","NCIT",NA
"irritable_bowel","Irritable Bowel Syndrome","NCIT:C82343","NCIT",NA
"largeadenoma","large intestine adenoma","DOID:0050914","DOID",NA
"MA","Metabolic Syndrome","NCIT:C84442","NCIT",NA
"mansonella_perstans","Mansonella perstans","NCIT:C119326","NCIT",NA
