"original_value","curated_ontology_term","curated_ontology_term_id","curated_ontology_term_db"
"antagrenine","EC 3.4.23.15 (renin) inhibitor","CHEBI:166822","CHEBI"
"thienobenzodiazepines","Olanzapine","NCIT:C47639","NCIT"
"redriceomega","red yeast rice supplement","FOODON:03600010","FOODON"
"5-ASA","Mesalamine","NCIT:C29249","NCIT"
"acarbose","Acarbose","NCIT:C983","NCIT"
"ace_inhib","ACE Inhibitor","NCIT:C247","NCIT"
"albendazole","Albendazole","NCIT:C47384","NCIT"
"amiodaron","Amiodarone","NCIT:C62002","NCIT"
"anthelmintics","Antihelminthic Agent","NCIT:C250","NCIT"
"anti_hypertension","Antihypertensive Agent","NCIT:C270","NCIT"
"anti_retrovirals","Antiretroviral Therapy","NCIT:C94631","NCIT"
"anti_virals","Antiviral Agent","NCIT:C281","NCIT"
"antidiab","Anti-diabetic Agent","NCIT:C29711","NCIT"
"antihta","Antihypertensive Agent","NCIT:C270","NCIT"
"antihypertension","Antihypertensive Agent","NCIT:C270","NCIT"
"antilipid","Antilipidemic Agent","NCIT:C29703","NCIT"
"antineoplastics","Antineoplastic Agent","NCIT:C274","NCIT"
"antithombo","Thrombolytic Agent","NCIT:C29750","NCIT"
"antiviral","Antiviral Agent","NCIT:C281","NCIT"
"asa","Aspirin","NCIT:C287","NCIT"
"aspirin","Aspirin","NCIT:C287","NCIT"
"at2_inhib","Angiotensin II Receptor Antagonist","NCIT:C66930","NCIT"
"aza","Azathioprine","NCIT:C290","NCIT"
"beta_blockers","Beta-Adrenergic Antagonist","NCIT:C29576","NCIT"
"blood_pressure_medication","Antihypertensive Agent","NCIT:C270","NCIT"
"ca2_cbl","Calcium Channel Blocker","NCIT:C333","NCIT"
"clopidogrel","Clopidogrel","NCIT:C61686","NCIT"
"corticosteroids","Therapeutic Corticosteroid","NCIT:C211","NCIT"
"CTLA4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"cumarine","Coumarin","NCIT:C397","NCIT"
"diabetes_oral_medication","Anti-diabetic Agent","NCIT:C29711","NCIT"
"digitalis","Digitalis","NCIT:C65385","NCIT"
"diuranse","Diuretic","NCIT:C448","NCIT"
"dopamine_antagonists","Dopamine Antagonist","NCIT:C66883","NCIT"
"dppiv","Dipeptidyl Peptidase-4 Inhibitor","NCIT:C98086","NCIT"
"EEN","Enteral Tube Feeding","NCIT:C93322","NCIT"
"EN","Enteral Tube Feeding","NCIT:C93322","NCIT"
"ezetimibe","Ezetimibe","NCIT:C47529","NCIT"
"fibrate","Fibrate Antilipidemic Agent","NCIT:C98150","NCIT"
"folate","Folate supplement (substance)","SNOMED:438451000124100","SNOMED"
"forceval","Dietary Supplement","NCIT:C1505","NCIT"
"glargine","Insulin Glargine","NCIT:C47564","NCIT"
"glitazone","Thiazolidinedione Antidiabetic Agent","NCIT:C98241","NCIT"
"glp_1","GLP-1 Mimetics","NCIT:C98085","NCIT"
"heparine","Heparin","NCIT:C539","NCIT"
"insulin","Therapeutic Insulin","NCIT:C581","NCIT"
"ipilumumab","Ipilimumab","NCIT:C2654","NCIT"
"iron","Iron","NCIT:C598","NCIT"
"isophane","Insulin, NPH","NCIT:C29124","NCIT"
"kspdiur","Potassium-Sparing Diuretic","NCIT:C49186","NCIT"
"Lactulose","Lactulose","NCIT:C29148","NCIT"
"lantus","Insulin Glargine","NCIT:C47564","NCIT"
"lantus_solostar","Insulin Glargine","NCIT:C47564","NCIT"
"laxatives","Laxative","NCIT:C29697","NCIT"
"metformin","Metformin","NCIT:C61612","NCIT"
"metformin_hydrochloride","Metformin Hydrochloride","NCIT:C29251","NCIT"
"methotrexate","Methotrexate","NCIT:C642","NCIT"
"modulen_suppl","Pediatric Nutritional Supplement Drink","NCIT:C74453","NCIT"
"nitrate","Nitrate","NCIT:C80487","NCIT"
"nivolumab","Nivolumab","NCIT:C68814","NCIT"
"no","None","NCIT:C41132","NCIT"
"novorapid","Insulin Aspart","NCIT:C47563","NCIT"
"NSAID","Nonsteroidal Antiinflammatory Drug","NCIT:C257","NCIT"
"nutritions","Dietary Supplement","NCIT:C1505","NCIT"
"opioids","Opioid","NCIT:C1506","NCIT"
"other_antiarythmic","Antiarrhythmic Agent","NCIT:C47793","NCIT"
"PD1","Anti-PD1 Monoclonal Antibody","NCIT:C128037","NCIT"
"pembrolizumab","Pembrolizumab","NCIT:C106432","NCIT"
"PPI","Proton Pump Inhibitor","NCIT:C29723","NCIT"
"ppi","Proton Pump Inhibitor","NCIT:C29723","NCIT"
"probiotic","Probiotic","NCIT:C93144","NCIT"
"reverse_transcriptase_inhibitors","Reverse Transcriptase Inhibitor","NCIT:C1589","NCIT"
"sglt2","SGLT2 Inhibitor","NCIT:C98083","NCIT"
"sitagliptin","Sitagliptin","NCIT:C73838","NCIT"
"solostar","Insulin Glargine","NCIT:C47564","NCIT"
"statin","HMG-CoA Reductase Inhibitor","NCIT:C1655","NCIT"
"statins","HMG-CoA Reductase Inhibitor","NCIT:C1655","NCIT"
"steroids","Steroid Compound","NCIT:C843","NCIT"
"su","Sulfonylurea Antidiabetic Agent","NCIT:C97936","NCIT"
"thiazidique","Thiazide Diuretic","NCIT:C49185","NCIT"
"urinary_alkalinizer","Citrate-containing Alkalinizing Agent","NCIT:C29369","NCIT"
"xantoxinh","Xanthine Oxidase Inhibitor","NCIT:C1637","NCIT"
"ctrblock","Centrally acting hypotensive agent (substance)","SNOMED:372740001","SNOMED"
"phenylpiperidines","Phenylpiperidine derivative (substance)","SNOMED:48070003","SNOMED"
