"original_value","curated_ontology_term","curated_ontology_term_id","curated_ontology_term_db"
"abdominalhernia","Hernia of the abdominal wall","HP:0004299","HP"
"acute_diarrhoea","acute diarrhea","DOID:0050140","DOID"
"ACVD","atherosclerosis","EFO:0003914","EFO"
"AD","Alzheimer's disease","EFO:0000249","EFO"
"adenocarcinoma","adenocarcinoma","EFO:0000228","EFO"
"adenoma","Adenoma","NCIT:C2855","NCIT"
"advancedadenoma","Adenoma","NCIT:C2855","NCIT"
"AR","Allergic rhinitis","HP:0003193","HP"
"arthritis","arthritis","EFO:0005856","EFO"
"AS","ankylosing spondylitis","EFO:0003898","EFO"
"ascaris_lumbricoides","Ascaris lumbricoides","NCIT:C122177","NCIT"
"ascites","Ascites","HP:0001541","HP"
"asthma","Asthma","NCIT:C28397","NCIT"
"BD","Behcet's syndrome","EFO:0003780","EFO"
"bronchitis","bronchitis","EFO:0009661","EFO"
"CAD","coronary artery disease","EFO:0001645","EFO"
"carcinoma","carcinoma","EFO:0000313","EFO"
"carcinoma_surgery_history","carcinoma,History of surgery (situation)","EFO:0000313;161615003","EFO;SNOMED"
"CD","Crohn's disease","EFO:0000384","EFO"
"CDI","clostridium difficile infection","EFO:0009130","EFO"
"cellulitis","cellulitis","EFO:0003035","EFO"
"cephalosporins","Cephalosporin Antibiotic","NCIT:C357","NCIT"
"cholera","Cholera","NCIT:C157812","NCIT"
"cholesterolemia","Hypercholesterolemia","HP:0003124","HP"
"chorioamnionitis","chorioamnionitis","EFO:0009948","EFO"
"cirrhosis","cirrhosis of liver","EFO:0001422","EFO"
"CMV","cytomegalovirus infection","EFO:0001062","EFO"
"coeliac","celiac disease","EFO:0001060","EFO"
"control","Study Control","NCIT:C142703","NCIT"
"cough","Cough","HP:0012735","HP"
"CRC","colorectal cancer","EFO:0005842","EFO"
"cystitis","cystitis","EFO:1000025","EFO"
"donor","Donor","NCIT:C48284","NCIT"
"entamoeba_histolytica","Entamoeba histolytica","NCIT:C122297","NCIT"
"fatty_liver","Fatty Liver","OMIT:0006456","OMIT"
"fever","Fever","HP:0001945","HP"
"few_polyps","Polyps","OMIT:0012094","OMIT"
"first_episode_schizofrenia","Schizophrenia,First episode (qualifier value)","NCIT:C3362;255217005","NCIT;SNOMED"
"FMT","Fecal Microbiota Transplantation","NCIT:C118643","NCIT"
"gangrene","gangrene","EFO:0008574","EFO"
"generic_diabetes","Diabetes Mellitus","NCIT:C2985","NCIT"
"gestational_diabetes","gestational diabetes","EFO:0004593","EFO"
"HBV","hepatitis B virus infection","EFO:0004197","EFO"
"HCV","Hepatitis C Infection","NCIT:C3098","NCIT"
"HDV","hepatitis D virus infection","EFO:0007304","EFO"
"healthy","Healthy","NCIT:C115935","NCIT"
"hepatitis","Hepatitis","HP:0012115","HP"
"HEV","hepatitis E virus infection","EFO:0007303","EFO"
"HF","Heart Failure","NCIT:C50577","NCIT"
"hookworm","Hookworm Infection","NCIT:C34702","NCIT"
"human gut microbiome","human gut microbiome","OHMI:0000020","OHMI"
"human microbiome","human microbiome","OHMI:0000002","OHMI"
"human skin microbiome interaction","human skin microbiome interaction","OHMI:0000121","OHMI"
"hypercholesterolemia","Hypercholesterolemia","HP:0003124","HP"
"hypertension","hypertension","EFO:0000537","EFO"
"IBD","Inflammatory Bowel Disease","NCIT:C3138","NCIT"
"IGT","abnormal glucose tolerance","EFO:0002546","EFO"
"Indeterminate_colitis","indeterminate colitis","EFO:1000034","EFO"
"infectiousgastroenteritis","gastroenteritis","EFO:1001463","EFO"
"intestinal microbiome","Intestinal Flora","NCIT:C93019","NCIT"
"irritable_bowel","Irritable Bowel Syndrome","NCIT:C82343","NCIT"
"largeadenoma","large intestine adenoma","DOID:0050914","DOID"
"MA","Metabolic Syndrome","NCIT:C84442","NCIT"
"mansonella_perstans","Mansonella perstans","NCIT:C119326","NCIT"
"MDRB","Multidrug-resistant bacteria (organism)","713351000","SNOMED"
"ME/CFS","myalgic encephalomeyelitis/chronic fatigue syndrome","MONDO:0005404","MONDO"
"melanoma","melanoma","EFO:0000756","EFO"
"melanoma_surgery","Melanoma Surgery","NCIT:C157920","NCIT"
"metabolic_syndrome","metabolic syndrome","EFO:0000195","EFO"
"metastases","Metastases status (attribute)","260874000","SNOMED"
"metastases_adrenal","Metastatic Malignant Neoplasm in the Adrenal Gland","NCIT:C8610","NCIT"
"metastases_bone","Metastatic Malignant Neoplasm in the Bone","NCIT:C3580","NCIT"
"metastases_liver","Metastatic Malignant Neoplasm in the Liver","NCIT:C4758","NCIT"
"metastases_lung","Metastatic Malignant Neoplasm in the Lung","NCIT:C3577","NCIT"
"metastases_nodes","Metastatic Malignant Neoplasm in the Lymph Nodes","NCIT:C4904","NCIT"
"metastases_SQ","Metastatic Squamous Cell Carcinoma","NCIT:C4104","NCIT"
"microfilaria_loa_loa","Loa loa,Microfilaria","NCIT:C123512;OMIT:0009896","NCIT;OMIT"
"microfilaria_spp","Microfilaria","OMIT:0009896","OMIT"
"migraine","Migraine","NCIT:C89715","NCIT"
"MS","Metabolic Syndrome","NCIT:C84442","NCIT"
"mucositis","Mucositis","NCIT:C115965","NCIT"
"NAFLD","Non-alcoholic Fatty Liver Disease","OMIT:0028679","OMIT"
"necator_americanus","Necator americanus","OMIT:0017611","OMIT"
"NK","Natural Killer Cell","NCIT:C12536","NCIT"
"Oral Microbiome","Oral Microbiome","NCIT:C125208","NCIT"
"osteoarthritis","Osteoarthritis","NCIT:C3293","NCIT"
"otitis","otitis","SYMP:0000873","SYMP"
"PD","Parkinson disease","MONDO:0005180","MONDO"
"peri-implantitis","Peri-Implantitis","OMIT:0027030","OMIT"
"perianal_fistula","Perianal fistula (disorder)","58103005","SNOMED"
"periodontitis","periodontitis","EFO:0000649","EFO"
"plasmodium_falciparum","Plasmodium falciparum","NCBITaxon:5833","NCBITaxon"
"pneumonia","pneumonia","EFO:0003106","EFO"
"pre-eclampsia","preeclampsia","EFO:0000668","EFO"
"pre-hypertension","Pre-capillary pulmonary hypertension","HP:0033578","HP"
"premature_born","premature birth","EFO:0003917","EFO"
"Prevotella copri","Prevotella copri","NCBITaxon:165179","NCBITaxon"
"psoriasis","psoriasis","EFO:0000676","EFO"
"pyelonefritis","pyelonephritis","EFO:1001141","EFO"
"pyelonephritis","pyelonephritis","EFO:1001141","EFO"
"RA","rheumatoid arthritis","EFO:0000685","EFO"
"repeated_episodes_shizofrenia","Schizophrenia,repeated","NCIT:C3362;EUPATH:0001011","NCIT;EUPATH"
"respiratoryinf","Respiratory tract infection","HP:0011947","HP"
"salmonellosis","salmonellosis","MONDO:0000827","MONDO"
"schistosoma","Schistosoma","NCIT:C124285","NCIT"
"schizofrenia","Schizophrenia","NCIT:C3362","NCIT"
"schizophrenia","Schizophrenia","NCIT:C3362","NCIT"
"sepsis","sepsis","MP:0005044","MP"
"skininf","Skin Infection","NCIT:C35025","NCIT"
"smalladenoma","Small Intestinal Adenoma","NCIT:C5340","NCIT"
"SRP","Periodontal Scaling and Root Planing","NCIT:C63714","NCIT"
"STEC","Shiga Toxin-producing Escherichia coli","NCIT:C184689","NCIT"
"STH","Helminth,Transmitted,soil","NCIT:C125642;ENVO:00001998","NCIT;ENVO"
"stomatitis","stomatitis","EFO:0009688","EFO"
"suspinf","Infection,Suspected","NCIT:C128320;NCIT:C71458","NCIT;NCIT"
"T1D","Type 1 Diabetes Mellitus","NCIT:C2986","NCIT"
"T1D_nonconverter","Type 1 Diabetes Mellitus","NCIT:C2986","NCIT"
"T1D_seroconverter","Type 1 Diabetes Mellitus","NCIT:C2986","NCIT"
"T2D","Type 2 Diabetes Mellitus","NCIT:C26747","NCIT"
"TKI_dependent_diarrhoea","diarrhea","MP:0005036","MP"
"tonsillitis","Tonsillitis","NCIT:C116006","NCIT"
"treatment_colitis","Colitis","OMIT:0004401","OMIT"
"trichomonas_intestinalis","Trichomonas","NCIT:C89825","NCIT"
"trichuris_trichiura","Trichuris trichiura","NCIT:C125973","NCIT"
"UC","ulcerative colitis","EFO:0000729","EFO"
"undetermined_colitis","undetermined colitis","MONDO:0015176","MONDO"
"ureteralstone","Ureteric stone (disorder)","31054009","SNOMED"
"uveitis","uveitis","EFO:1001231","EFO"
"VKH","Vogt-Koyanagi-Harada disease","MONDO:0018092","MONDO"
"Weight loss","Weight loss","HP:0001824","HP"
"wilson","Wilson disease","MONDO:0010200","MONDO"
"wuchereria_bancrofti","Wuchereria bancrofti","NCIT:C122328","NCIT"
