"original_value","curated_ontology_term","curated_ontology_term_id","Notes"
"abdominalhernia","Hernia of the abdominal wall","HP:0004299",NA
"acute_diarrhoea","acute diarrhea","DOID:0050140",NA
"ACVD","atherosclerosis","EFO:0003914",NA
"AD","Alzheimer's disease","EFO:0000249",NA
"adenocarcinoma","adenocarcinoma","EFO:0000228",NA
"adenoma","Adenoma","NCIT:C2855",NA
"advancedadenoma","Adenoma","NCIT:C2855",NA
"AR","Allergic rhinitis","HP:0003193",NA
"arthritis","arthritis","EFO:0005856",NA
"AS","ankylosing spondylitis","EFO:0003898",NA
"ascaris_lumbricoides","Ascaris lumbricoides","NCIT:C122177",NA
"ascites","Ascites","HP:0001541",NA
"asthma","Asthma","NCIT:C28397",NA
"BD","Behcet's syndrome","EFO:0003780",NA
"bronchitis","bronchitis","EFO:0009661",NA
"CAD","coronary artery disease","EFO:0001645",NA
"carcinoma","carcinoma","EFO:0000313",NA
"carcinoma_surgery_history","carcinoma","EFO:0000313","carcinoma,History of surgery (situation)"
"CD","Crohn's disease","EFO:0000384",NA
"CDI","clostridium difficile infection","EFO:0009130",NA
"cellulitis","cellulitis","EFO:0003035",NA
"cephalosporins","Cephalosporin Antibiotic","NCIT:C357",NA
"cholera","Cholera","NCIT:C157812",NA
"cholesterolemia","Hypercholesterolemia","HP:0003124",NA
"chorioamnionitis","chorioamnionitis","EFO:0009948",NA
"cirrhosis","cirrhosis of liver","EFO:0001422",NA
"CMV","cytomegalovirus infection","EFO:0001062",NA
"coeliac","celiac disease","EFO:0001060",NA
"control","Study Control","NCIT:C142703",NA
"cough","Cough","HP:0012735",NA
"CRC","colorectal cancer","EFO:0005842",NA
"cystitis","cystitis","EFO:1000025",NA
"donor","Donor","NCIT:C48284",NA
"entamoeba_histolytica","Entamoeba histolytica","NCIT:C122297",NA
"fatty_liver","Fatty Liver","OMIT:0006456",NA
"fever","Fever","HP:0001945",NA
"few_polyps","Polyps","OMIT:0012094",NA
"first_episode_schizofrenia","Schizophrenia","NCIT:C3362","Schizophrenia,First episode (qualifier value)"
"FMT","Fecal Microbiota Transplantation","NCIT:C118643",NA
"gangrene","gangrene","EFO:0008574",NA
"generic_diabetes","Diabetes Mellitus","NCIT:C2985",NA
"gestational_diabetes","gestational diabetes","EFO:0004593",NA
"HBV","hepatitis B virus infection","EFO:0004197",NA
"HCV","Hepatitis C Infection","NCIT:C3098",NA
"HDV","hepatitis D virus infection","EFO:0007304",NA
"healthy","Healthy","NCIT:C115935",NA
"hepatitis","Hepatitis","HP:0012115",NA
"HEV","hepatitis E virus infection","EFO:0007303",NA
"HF","Heart Failure","NCIT:C50577",NA
"hookworm","Hookworm Infection","NCIT:C34702",NA
"human gut microbiome","human gut microbiome","OHMI:0000020",NA
"human microbiome","human microbiome","OHMI:0000002",NA
"human skin microbiome interaction","human skin microbiome interaction","OHMI:0000121",NA
"hypercholesterolemia","Hypercholesterolemia","HP:0003124",NA
"hypertension","hypertension","EFO:0000537",NA
"IBD","Inflammatory Bowel Disease","NCIT:C3138",NA
"IGT","abnormal glucose tolerance","EFO:0002546",NA
"Indeterminate_colitis","indeterminate colitis","EFO:1000034",NA
"infectiousgastroenteritis","gastroenteritis","EFO:1001463",NA
"intestinal microbiome","Intestinal Flora","NCIT:C93019",NA
"irritable_bowel","Irritable Bowel Syndrome","NCIT:C82343",NA
"largeadenoma","large intestine adenoma","DOID:0050914",NA
"MA","Metabolic Syndrome","NCIT:C84442",NA
"mansonella_perstans","Mansonella perstans","NCIT:C119326",NA
"MDRB","Multidrug-resistant bacteria (organism)","713351000",NA
"ME/CFS","myalgic encephalomeyelitis/chronic fatigue syndrome","MONDO:0005404",NA
"melanoma","melanoma","EFO:0000756",NA
"melanoma_surgery","Melanoma Surgery","NCIT:C157920",NA
"metabolic_syndrome","metabolic syndrome","EFO:0000195",NA
"metastases","Metastases status (attribute)","260874000",NA
"metastases_adrenal","Metastatic Malignant Neoplasm in the Adrenal Gland","NCIT:C8610",NA
"metastases_bone","Metastatic Malignant Neoplasm in the Bone","NCIT:C3580",NA
"metastases_liver","Metastatic Malignant Neoplasm in the Liver","NCIT:C4758",NA
"metastases_lung","Loa loa","NCIT:C123512","Loa loa,Microfilaria"
"metastases_nodes","Metastatic Malignant Neoplasm in the Lymph Nodes","NCIT:C4904",NA
"metastases_SQ","Metastatic Squamous Cell Carcinoma","NCIT:C4104",NA
"microfilaria_loa_loa","Loa loa,Microfilaria","OMIT:0009896",NA
"microfilaria_spp","Microfilaria","OMIT:0009896",NA
"migraine","Migraine","NCIT:C89715",NA
"MS","Metabolic Syndrome","NCIT:C84442",NA
"mucositis","Mucositis","NCIT:C115965",NA
"NAFLD","Non-alcoholic Fatty Liver Disease","OMIT:0028679",NA
"necator_americanus","Necator americanus","OMIT:0017611",NA
"NK","Natural Killer Cell","NCIT:C12536",NA
"Oral Microbiome","Oral Microbiome","NCIT:C125208",NA
"osteoarthritis","Osteoarthritis","NCIT:C3293",NA
"otitis","otitis","SYMP:0000873",NA
"PD","Parkinson disease","MONDO:0005180",NA
"peri-implantitis","Peri-Implantitis","OMIT:0027030",NA
"perianal_fistula","Perianal fistula (disorder)","58103005",NA
"periodontitis","periodontitis","EFO:0000649",NA
"plasmodium_falciparum","Plasmodium falciparum","NCBITaxon:5833",NA
"pneumonia","pneumonia","EFO:0003106",NA
"pre-eclampsia","preeclampsia","EFO:0000668",NA
"pre-hypertension","Pre-capillary pulmonary hypertension","HP:0033578",NA
"premature_born","premature birth","EFO:0003917",NA
"Prevotella copri","Prevotella copri","NCBITaxon:165179",NA
"psoriasis","Schizophrenia","NCIT:C3362","Schizophrenia,repeated"
"pyelonefritis","pyelonephritis","EFO:1001141",NA
"pyelonephritis","pyelonephritis","EFO:1001141",NA
"RA","rheumatoid arthritis","EFO:0000685",NA
"repeated_episodes_shizofrenia","Schizophrenia,repeated","EUPATH:0001011",NA
"respiratoryinf","Respiratory tract infection","HP:0011947",NA
"salmonellosis","salmonellosis","MONDO:0000827",NA
"schistosoma","Schistosoma","NCIT:C124285",NA
"schizofrenia","Schizophrenia","NCIT:C3362",NA
"schizophrenia","Schizophrenia","NCIT:C3362",NA
"sepsis","sepsis","MP:0005044",NA
"skininf","Helminth","NCIT:C125642","Helminth,Transmitted,soil"
"smalladenoma","Small Intestinal Adenoma","NCIT:C5340",NA
"SRP","Infection","NCIT:C128320","Infection,Suspected"
"STEC","Shiga Toxin-producing Escherichia coli","NCIT:C184689",NA
"STH","Helminth,Transmitted,soil","ENVO:00001998",NA
"stomatitis","stomatitis","EFO:0009688",NA
"suspinf","Infection,Suspected","NCIT:C71458",NA
"T1D","Type 1 Diabetes Mellitus","NCIT:C2986",NA
"T1D_nonconverter","Type 1 Diabetes Mellitus","NCIT:C2986",NA
"T1D_seroconverter","Type 1 Diabetes Mellitus","NCIT:C2986",NA
"T2D","Type 2 Diabetes Mellitus","NCIT:C26747",NA
"TKI_dependent_diarrhoea","diarrhea","MP:0005036",NA
"tonsillitis","Tonsillitis","NCIT:C116006",NA
"treatment_colitis","Colitis","OMIT:0004401",NA
