"Name","Reference","All","Mutations","CNA","RNA.Seq","Structural_Variants","Tumor_mRNA_.microarray.","Tumor_miRNA","Methylation_.HM27.","RPPA","Protein_Mass_Spectrometry","Complete","Treatment_Count","pmid","studyId"
"Acinar Cell Carcinoma of the Pancreas (JHU, J Pathol 2014)","Jial et al. J Pathol 2014",23,23,0,0,0,0,0,0,0,0,0,0,"24293293","paac_jhu_2014"
"Acral Melanoma (TGEN, Genome Res 2017)","Liang et al. Genome Res 2017",38,38,38,36,0,0,0,0,0,0,36,21,"28373299","mel_tsam_liang_2017"
"Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2015)","Andersson et al. Nat Genet 2015",93,93,0,0,61,0,0,0,0,0,0,0,"25730765","all_stjude_2015"
"Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2016)","Zhang et al. Nat Genet 2016",73,73,0,0,0,0,0,0,0,0,0,0,"27776115","all_stjude_2016"
"Acute Myeloid Leukemia (OHSU, Cancer Cell 2022)","Bottomly et al. Cancer Cell 2022",942,903,0,698,168,0,0,0,0,0,0,0,"35868306","aml_ohsu_2022"
"Acute Myeloid Leukemia (OHSU, Nature 2018)","Tyner et al. Nature 2018",672,622,0,451,16,0,0,0,0,0,0,0,"30333627","aml_ohsu_2018"
"Acute Myeloid Leukemia (TCGA, Firehose Legacy)","",200,197,191,173,0,0,0,194,0,0,163,0,NA,"laml_tcga"
"Acute Myeloid Leukemia (TCGA, GDC)","",200,72,190,0,0,0,0,0,0,0,0,0,NA,"aml_tcga_gdc"
"Acute Myeloid Leukemia (TCGA, NEJM 2013)","TCGA, NEJM 2013",200,200,191,173,79,0,0,194,0,0,162,0,"23634996","laml_tcga_pub"
"Acute Myeloid Leukemia (TCGA, PanCancer Atlas)","TCGA, Cell 2018",200,200,191,173,83,0,0,0,0,0,165,0,"29625048,29596782,29622463,29617662,29625055,29625050,29617662,32214244,29625049,29850653","laml_tcga_pan_can_atlas_2018"
"Acute myeloid leukemia or myelodysplastic syndromes (WashU, 2016)","Welch et al. N Engl J Med. 2016",136,136,0,0,0,0,0,0,0,0,0,0,"27959731","mnm_washu_2016"
"Adenoid Cystic Carcinoma (FMI, Am J Surg Pathl. 2014)","Ross et al. Am J Surg Pathl 2014",28,28,28,0,0,0,0,0,0,0,0,0,"24418857","acyc_fmi_2014"
"Adenoid Cystic Carcinoma (JHU, Cancer Prev Res 2016)","Rettig et al, Cancer Prev Res 2016",25,25,0,0,23,0,0,0,0,0,0,0,"26862087","acyc_jhu_2016"
"Adenoid Cystic Carcinoma (MDA, Clin Cancer Res 2015)","Mitani et al. Clin Cancer Res 2015",102,65,0,0,58,0,0,0,0,0,0,0,"26631609","acyc_mda_2015"
"Adenoid Cystic Carcinoma (MGH, Nat Gen 2016)","Drier et al. Nature Genetics 2016",10,10,0,0,6,0,0,0,0,0,0,0,"26829750","acyc_mgh_2016"
"Adenoid Cystic Carcinoma (MSK, Nat Genet 2013)","Ho et al. Nat Genet 2013",60,60,60,0,36,0,0,0,0,0,0,0,"23685749","acyc_mskcc_2013"
"Adenoid Cystic Carcinoma (Sanger/MDA, JCI 2013)","Stephens et al. JCI 2013",24,24,0,0,0,0,0,0,0,0,0,0,"23778141","acyc_sanger_2013"
