,values,ind,ver_0.99.0
1,100,study_name,TRUE
2,100,sample_id,TRUE
3,100,subject_id,TRUE
4,100,body_site,TRUE
5,100,disease,TRUE
6,100,country,TRUE
7,100,non_westernized,TRUE
8,100,number_bases,FALSE
9,100,curator,FALSE
10,99.9,study_condition,TRUE
11,99.3,sequencing_platform,TRUE
12,99.3,age_category,TRUE
13,91.2,number_reads,FALSE
14,90.9,PMID,TRUE
15,90.9,minimum_read_length,FALSE
16,90.9,median_read_length,FALSE
17,88.6,gender,TRUE
18,79.5,NCBI_accession,TRUE
19,69.1,DNA_extraction_kit,TRUE
20,64.3,antibiotics_current_use,TRUE
21,60,age,TRUE
22,56.8,BMI,TRUE
23,36.6,days_from_first_collection,TRUE
24,31.5,location,FALSE
25,23.2,treatment,TRUE
26,18.9,family,FALSE
27,16,pregnant,TRUE
28,13.6,disease_subtype,TRUE
29,13,born_method,TRUE
30,12.8,infant_age,TRUE
31,12.4,family_role,FALSE
32,11.6,visit_number,FALSE
33,9.8,gestational_age,TRUE
34,9.8,premature,TRUE
35,9.7,birth_weight,TRUE
36,9.6,body_subsite,TRUE
37,9.2,population,TRUE
38,8,triglycerides,FALSE
39,7.4,smoker,TRUE
40,6.8,hba1c,FALSE
41,6.7,uncurated_metadata,FALSE
42,5.8,smoke,TRUE
43,5.3,cholesterol,TRUE
44,5.2,ever_smoker,TRUE
45,4.3,lactating,FALSE
46,4.3,ldl,FALSE
47,4.3,hdl,FALSE
48,3.7,LDL,FALSE
49,3.7,bristol_score,FALSE
50,3.7,hsCRP,FALSE
51,3.5,dyastolic_p,FALSE
52,3.5,systolic_p,FALSE
53,3.5,c_section_type,FALSE
54,3.5,alcohol,FALSE
55,3.4,creatinine,FALSE
56,3.3,feeding_practice,FALSE
57,2.7,alcohol_numeric,FALSE
58,2.7,brinkman_index,FALSE
59,2.5,hla_dqa11,FALSE
60,2.5,albumine,FALSE
61,2.2,ajcc,FALSE
62,2,bilubirin,FALSE
63,1.9,menopausal_status,FALSE
64,1.8,diet,FALSE
65,1.8,glucose,FALSE
66,1.8,disease_location,FALSE
67,1.8,antibiotics_family,FALSE
68,1.8,hscrp,FALSE
69,1.7,mgs_richness,FALSE
70,1.7,urea_nitrogen,FALSE
71,1.5,hla_dqa12,FALSE
72,1.5,creatine,FALSE
73,1.5,subcohort,FALSE
74,1.4,ast,FALSE
75,1.4,globulin,FALSE
76,1.4,alt,FALSE
77,1.3,hitchip_probe_class,FALSE
78,1.3,lifestyle,FALSE
79,1.3,birth_control_pil,FALSE
80,1.3,zigosity,FALSE
81,1.2,fobt,FALSE
82,1.2,calprotectin,FALSE
83,1.2,tnm,FALSE
84,1.1,prothrombin_time,FALSE
85,1,hla_drb11,FALSE
86,1,c_peptide,FALSE
87,1,ORR,FALSE
88,1,RECIST,FALSE
89,1,wbc,FALSE
90,1,rbc,FALSE
91,1,hemoglobinometry,FALSE
92,0.9,PFS12,FALSE
93,0.9,fasting_glucose,FALSE
94,0.7,age_group,FALSE
95,0.7,min_read_len,FALSE
96,0.7,median_read_len,FALSE
97,0.7,mean_read_len,FALSE
98,0.7,max_read_len,FALSE
99,0.7,previous_therapy,FALSE
100,0.7,toxicity_above_zero,FALSE
101,0.7,dental_sample_type,FALSE
102,0.7,performance_status,FALSE
103,0.7,FMT_role,FALSE
104,0.7,formula_first_day,FALSE
105,0.7,hla_drb12,FALSE
106,0.6,fmt_id,FALSE
107,0.6,insulin_cat,FALSE
108,0.6,glutamate_decarboxylase_2_antibody,FALSE
109,0.6,adiponectin,FALSE
110,0.6,leptin,FALSE
111,0.6,disease_stage,FALSE
112,0.6,breastfeeding_duration,FALSE
113,0.6,days_after_onset,FALSE
114,0.6,glp_1,FALSE
115,0.6,cd163,FALSE
116,0.6,il_1,FALSE
117,0.6,fgf_19,FALSE
118,0.5,inr,FALSE
119,0.5,HLA,FALSE
120,0.5,PPD_M,FALSE
121,0.5,PPD_B,FALSE
122,0.5,PPD_D,FALSE
123,0.5,PPD_L,FALSE
124,0.5,protein_intake,FALSE
125,0.5,eGFR,FALSE
126,0.5,ALT,FALSE
127,0.5,fasting_insulin,FALSE
128,0.5,history_of_periodontitis,FALSE
129,0.4,ESR,FALSE
130,0.4,BASDAI,FALSE
131,0.4,BASFI,FALSE
132,0.4,HBI,FALSE
133,0.3,flg_genotype,FALSE
134,0.3,autoantibody_positive,FALSE
135,0.3,age_seroconversion,FALSE
136,0.3,median_read_lenght,FALSE
137,0.3,minimum_read_lenght,FALSE
138,0.2,mumps,FALSE
139,0.2,SCCAI,FALSE
140,0.2,remission,FALSE
141,0.2,change_in_tumor_size,FALSE
142,0.2,anti_PD_1,FALSE
143,0.2,stec_count,FALSE
144,0.2,shigatoxin_2_elisa,FALSE
145,0.2,travel_destination,FALSE
146,0.2,stool_texture,FALSE
147,0.1,age_T1D_diagnosis,FALSE
148,0.1,ferm_milk_prod_consumer,FALSE
