"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"0.3 mg/kg_GROUP","Treatment Group","NCIT:C161322","NCIT"
"10 mg/kg-N_GROUP","Treatment Group","NCIT:C161322","NCIT"
"10 mg/kg_GROUP","Treatment Group","NCIT:C161322","NCIT"
"2 mg/kg_GROUP","Treatment Group","NCIT:C161322","NCIT"
"90_DAYS_POST_RESECTION","Post;Resection","NCIT:C38008;NCIT:C158758","NCIT;NCIT"
"90_DAYS_PRIOR_TO_RESECTION","Prior;Resection","NCIT:C25629;NCIT:C158758","NCIT;NCIT"
"ADJ","Adjuvant","NCIT:C2140","NCIT"
"ADJUVANT","Adjuvant","NCIT:C2140","NCIT"
"AFTER_1ST_LINE_Yes","Post;First-Line Therapy","NCIT:C38008;NCIT:C45792","NCIT;NCIT"
"AFTER_1ST_LINE_no (first line)","First-Line Therapy","NCIT:C45792","NCIT"
"AFTER_SURGERY","Post;Surgery","NCIT:C38008;NCIT:C17173","NCIT;NCIT"
"ALTERNATE_THERAPY","Alternative","NCIT:C25415","NCIT"
"ARM_A","Protocol Treatment Arm","NCIT:C15538","NCIT"
"ARM_B","Protocol Treatment Arm","NCIT:C15538","NCIT"
"ARM_C","Protocol Treatment Arm","NCIT:C15538","NCIT"
"ARM_D","Protocol Treatment Arm","NCIT:C15538","NCIT"
"ARM_D-Exp","Protocol Treatment Arm","NCIT:C15538","NCIT"
"AT_DIAGNOSIS","At Time of Diagnosis","NCIT:C158810","NCIT"
"AT_DX","At Time of Diagnosis","NCIT:C158810","NCIT"
"Adjuvant","Adjuvant","NCIT:C2140","NCIT"
"Adjuvant Setting","Adjuvant Therapy Clinical Trial Setting","NCIT:C124450","NCIT"
"Adjuvant Trial","Adjuvant Therapy Clinical Trial Setting","NCIT:C124450","NCIT"
"Arm 1- abiraterone alone","Protocol Treatment Arm","NCIT:C15538","NCIT"
"Arm A-enzalutamide only","Protocol Treatment Arm","NCIT:C15538","NCIT"
"Arm B","Protocol Treatment Arm","NCIT:C15538","NCIT"
"BEFORE_SURGERY","Prior;Surgery","NCIT:C25629;NCIT:C17173","NCIT;NCIT"
"BOTH_SURGERY","Prior;Post;Surgery","NCIT:C25629;NCIT:C38008;NCIT:C17173","NCIT;NCIT;NCIT"
"CALC_TREATMENT_NAIVE","No Prior Therapy","NCIT:C118903","NCIT"
"CHP 455 Arm","Protocol Treatment Arm","NCIT:C15538","NCIT"
"CHP 455 NOS Arm","Protocol Treatment Arm","NCIT:C15538","NCIT"
"CHP-455 Arm","Protocol Treatment Arm","NCIT:C15538","NCIT"
"CLIN_TRIAL","Clinical Trial","NCIT:C71104","NCIT"
"COMPLETED","Complete","NCIT:C25250","NCIT"
"CONCURRENT","Concurrent","NCIT:C25456","NCIT"
"CONCURRENT_COURSE","Concurrent","NCIT:C25456","NCIT"
"CURRENT","Current","NCIT:C25471","NCIT"
"Clinical trial","Clinical Trial","NCIT:C71104","NCIT"
"Consolidation","Consolidation Therapy","NCIT:C15679","NCIT"
"D-Exp","Protocol Treatment Arm","NCIT:C15538","NCIT"
"DIAGNOSTIC","Diagnostic","NCIT:C25482","NCIT"
"DOSE_REDUCTION","Dose Reduced","NCIT:C49505","NCIT"
"DURING_PD1","During;PD1 Inhibitor","NCIT:C25490;NCIT:C124946","NCIT;NCIT"
"Experimental","Experimental Group","NCIT:C161323","NCIT"
"FIFTH_LINE","Fifth-Line Therapy","NCIT:C133524","NCIT"
"FIRST","First","NCIT:C25509","NCIT"
