"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"17-DMAG","Alvespimycin","NCIT:C38142","NCIT"
"19D12","Robatumumab","NCIT:C71527","NCIT"
"5 fu","Fluorouracil","NCIT:C505","NCIT"
"5-FU","Fluorouracil","NCIT:C505","NCIT"
"5-fluorouracil","Fluorouracil","NCIT:C505","NCIT"
"5/FU","Fluorouracil","NCIT:C505","NCIT"
"5FU","Fluorouracil","NCIT:C505","NCIT"
"6-MP","Mercaptopurine","NCIT:C195","NCIT"
"6MP","Mercaptopurine","NCIT:C195","NCIT"
"AA","Antiandrogen Therapy","NCIT:C15481","NCIT"
"AALL0232 therapy","AALL0232 ALL Study Identifier","NCIT:C178065","NCIT"
"AALL0232 w/Dex","AALL0232 ALL Study Identifier;Dexamethasone","NCIT:C178065;NCIT:C422","NCIT;NCIT"
"AALL0331","AALL0331 ALL Study Identifier","NCIT:C178095","NCIT"
"ABRAXANE","Nab-paclitaxel","NCIT:C2688","NCIT"
"ABSTRACTION_PENDING","Chart Abstraction;Pending","NCIT:C113748;NCIT:C53470","NCIT;NCIT"
"ABT-199","Venetoclax","NCIT:C103147","NCIT"
"ABT-263","Navitoclax","NCIT:C64776","NCIT"
"ABT888","Veliparib","NCIT:C60768","NCIT"
"AC220 (Ambit)","Quizartinib Dihydrochloride","NCIT:C97272","NCIT"
"ACTINOMYCIN D","Dactinomycin","NCIT:C412","NCIT"
"ADC","Antibody-Drug Conjugate Therapy","NCIT:C15508","NCIT"
"ADC_THERAPY","Antibody-Drug Conjugate Therapy","NCIT:C15508","NCIT"
"ADT","Antiandrogen Therapy","NCIT:C15481","NCIT"
"AG-120","Ivosidenib","NCIT:C114383","NCIT"
"AG-221","Enasidenib","NCIT:C111573","NCIT"
"AIS","Aromatase Inhibitor","NCIT:C1740","NCIT"
"AKTi","AKT Inhibitor","NCIT:C155764","NCIT"
"ALKYLATING","Alkylating Agent","NCIT:C223","NCIT"
"ALKYLATING AGENT","Alkylating Agent","NCIT:C223","NCIT"
"ALKYLATING_AGENT","Alkylating Agent","NCIT:C223","NCIT"
"ALKYLATING_CHEMOTHERAPY","Alkylating Agent","NCIT:C223","NCIT"
"ALND","Axillary Lymph Node Dissection","NCIT:C15677","NCIT"
"ALPELISIB","Alpelisib","NCIT:C94214","NCIT"
"ALRN-6924","MDM2/MDMX Inhibitor ALRN-6924","NCIT:C118669","NCIT"
"AMD","Dactinomycin","NCIT:C412","NCIT"
"ANDROGEN_DEPRIVATION_THERAPY","Antiandrogen Therapy","NCIT:C15481","NCIT"
"ANTHRACYCLINE","Anthracycline Antineoplastic Antibiotic","NCIT:C1594","NCIT"
"ANTIHER2","HER2-targeting Agent","NCIT:C163760","NCIT"
"ANTIMETABOLITE","Antimetabolite","NCIT:C272","NCIT"
"APLIDIN","Plitidepsin","NCIT:C1689","NCIT"
"APR","Abdominoperineal Resection","NCIT:C91826","NCIT"
"ARN 509","Apalutamide","NCIT:C92574","NCIT"
"ARN509","Apalutamide","NCIT:C92574","NCIT"
"ATG","Anti-Thymocyte Globulin","NCIT:C278","NCIT"
"ATRA","Tretinoin","NCIT:C900","NCIT"
"ATRA (Tretinoin)","Tretinoin","NCIT:C900","NCIT"
"ATRA started","Tretinoin","NCIT:C900","NCIT"
"AZD-2171","Cediranib","NCIT:C80867","NCIT"
"AZD-6244","Selumetinib","NCIT:C66939","NCIT"
"AZD1480","JAK2 Inhibitor AZD1480","NCIT:C91394","NCIT"
"AZD8055","mTOR Kinase Inhibitor AZD8055","NCIT:C78856","NCIT"
"AbiCabazi (abiraterone)","Abiraterone","NCIT:C77333","NCIT"
"Abiraterone","Abiraterone","NCIT:C77333","NCIT"
"Abiraterone acetate","Abiraterone Acetate","NCIT:C68845","NCIT"
"Adalimumab","Adalimumab","NCIT:C65216","NCIT"
"Additional resection/ margins (taken after first margin positive)","Resection","NCIT:C158758","NCIT"
"Adr","Doxorubicin Hydrochloride","NCIT:C1326","NCIT"
"Adriamycine","Doxorubicin Hydrochloride","NCIT:C1326","NCIT"
"Afatinib","Afatinib","NCIT:C66940","NCIT"
"Alisertib","Alisertib","NCIT:C71717","NCIT"
"Alkylating Chemo","Alkylating Agent","NCIT:C223","NCIT"
"Alkylating Chemoradiation","Alkylating Agent;Chemoradiotherapy","NCIT:C223;NCIT:C94626","NCIT;NCIT"
"Alliance (enzalutamide)","Enzalutamide","NCIT:C71744","NCIT"
"Alpelisib","Alpelisib","NCIT:C94214","NCIT"
"Anastomosis","Anastomosis","NCIT:C15609","NCIT"
"Antacids","Anti-ulcer Agent","NCIT:C29701","NCIT"
"Anterior Pelvic Exenteration","Anterior Pelvic Exenteration","NCIT:C94468","NCIT"
"AntiEGFR","Anti-EGFR Monoclonal Antibody","NCIT:C133878","NCIT"
"Ara","Cytarabine","NCIT:C408","NCIT"
"Ara C","Cytarabine","NCIT:C408","NCIT"
"Ara-C","Cytarabine","NCIT:C408","NCIT"
"Arsenic Trioxide","Arsenic Trioxide","NCIT:C1005","NCIT"
"Arsenic.","Arsenic","NCIT:C28131","NCIT"
"Ascites","Ascites Drainage","NCIT:C159342","NCIT"
"Aspiration","Aspiration","NCIT:C15631","NCIT"
"Atezolizumab","Atezolizumab","NCIT:C106250","NCIT"
"Auto","Autologous Hematopoietic Stem Cell Transplantation","NCIT:C16039","NCIT"
"Autopsy","Autopsy","NCIT:C25153","NCIT"
"Avastin","Bevacizumab","NCIT:C2039","NCIT"
"Avatin","Lorazepam","NCIT:C619","NCIT"
"Axitinib","Axitinib","NCIT:C38718","NCIT"
"Aza","Azacitidine","NCIT:C288","NCIT"
"Azacitidine","Azacitidine","NCIT:C288","NCIT"
"Azathioprine","Azathioprine","NCIT:C290","NCIT"
"B/L Pelvic LN dissection","Bilateral Pelvic Lymph Node Dissection","NCIT:C166163","NCIT"
"BAL101553","Lisavanbulin","NCIT:C97664","NCIT"
"BAY1161909","Empesertib","NCIT:C116074","NCIT"
"BCG","Bacillus Calmette-Guerin Antigen","NCIT:C77178","NCIT"
"BCNU","Carmustine","NCIT:C349","NCIT"
"BEV","Bevacizumab","NCIT:C2039","NCIT"
"BEZ235","Dactolisib","NCIT:C74072","NCIT"
"BI 836858 (anti-CD33)","Anti-CD33 Monoclonal Antibody BI 836858","NCIT:C116737","NCIT"
"BI6727 (VOLASERTIB)","Volasertib","NCIT:C79844","NCIT"
"BI836858 (anti-CD33)","Anti-CD33 Monoclonal Antibody BI 836858","NCIT:C116737","NCIT"
"BIOLOGIC","Biological Agent","NCIT:C307","NCIT"
"BKM120","Buparlisib","NCIT:C90565","NCIT"
"BL-8040","Motixafortide","NCIT:C88309","NCIT"
"BMN-673","Talazoparib","NCIT:C95733","NCIT"
"BMS-354825","Dasatinib","NCIT:C38713","NCIT"
"BMS-754807","Dual IGF-1R/InsR Inhibitor BMS-754807","NCIT:C74043","NCIT"
"BMS-986205 (IDO inhibitor)","Linrodostat","NCIT:C141135","NCIT"
"BMS-986205 (P1T986205)","Linrodostat","NCIT:C141135","NCIT"
"BORTEZOMIB","Bortezomib","NCIT:C1851","NCIT"
"BP1001","Prexigebersen","NCIT:C91736","NCIT"
"BPX-501","Rivogenlecleucel","NCIT:C105395","NCIT"
"BRACHYTHERAPY","Brachytherapy","NCIT:C15195","NCIT"
"BREAST CONSERVING","Breast Conservation Treatment","NCIT:C15280","NCIT"
"BREAST_SURGERY","Breast Surgery","NCIT:C157802","NCIT"
"BSO","Buthionine Sulfoximine","NCIT:C1029","NCIT"
"BU","Busulfan","NCIT:C321","NCIT"
"BYL719","Alpelisib","NCIT:C94214","NCIT"
"Bacillus Calmette-Guerin","Bacillus Calmette-Guerin Antigen","NCIT:C77178","NCIT"
"Bacillus Calmette-Guerin (BCG)","Bacillus Calmette-Guerin Antigen","NCIT:C77178","NCIT"
"Bevacizumab","Bevacizumab","NCIT:C2039","NCIT"
"Bevasizumab","Bevacizumab","NCIT:C2039","NCIT"
"Bevicizumab","Bevacizumab","NCIT:C2039","NCIT"
"Bicalutamide","Bicalutamide","NCIT:C1599","NCIT"
"Bilateral Mastectomy","Bilateral Mastectomy","NCIT:C168521","NCIT"
"Bilateral Ovarian cystectomy","Bilateral;Ovarian;Cystectomy","NCIT:C13332;NCIT:C28047;NCIT:C15217","NCIT;NCIT;NCIT"
