"","original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"1","ABSTRACTION_PENDING","Chart Abstraction;Pending","NCIT:C113748;NCIT:C53470","NCIT;NCIT"
"2","ADC","Antibody-Drug Conjugate Therapy","NCIT:C15508","NCIT"
"3","ADC_THERAPY","Antibody-Drug Conjugate Therapy","NCIT:C15508","NCIT"
"4","ADT","Antiandrogen Therapy","NCIT:C15481","NCIT"
"5","ALKYLATING","Alkylating Agent","NCIT:C223","NCIT"
"6","ALKYLATING AGENT","Alkylating Agent","NCIT:C223","NCIT"
"7","ALKYLATING_AGENT","Alkylating Agent","NCIT:C223","NCIT"
"8","ALKYLATING_CHEMOTHERAPY","Alkylating Agent","NCIT:C223","NCIT"
"9","ANDROGEN_DEPRIVATION_THERAPY","Antiandrogen Therapy","NCIT:C15481","NCIT"
"10","ANTIMETABOLITE","Antimetabolite","NCIT:C272","NCIT"
"11","Alkylating Chemo","Alkylating Agent","NCIT:C223","NCIT"
"12","Alkylating Chemoradiation","Alkylating Agent;Chemoradiotherapy","NCIT:C223;NCIT:C94626","NCIT;NCIT"
"13","Antacids","Anti-ulcer Agent","NCIT:C29701","NCIT"
"14","BIOLOGIC","Biological Agent","NCIT:C307","NCIT"
"15","BRACHYTHERAPY","Brachytherapy","NCIT:C15195","NCIT"
"16","BREAST_SURGERY","Breast Surgery","NCIT:C157802","NCIT"
"17","Bone Marrow Transplant","Bone Marrow Transplantation","NCIT:C15194","NCIT"
"18","Bone marrow transplant","Bone Marrow Transplantation","NCIT:C15194","NCIT"
"19","CHEMO","Chemotherapy","NCIT:C15632","NCIT"
"20","CHEMOTHERAPY","Chemotherapy","NCIT:C15632","NCIT"
"21","CONTRACEPTION","Contraception","NCIT:C37932","NCIT"
"22","CRT","Chemoradiotherapy","NCIT:C94626","NCIT"
"23","CT","Chemotherapy","NCIT:C15632","NCIT"
"24","CTLA-4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"25","CTLA4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"26","CTRT","Chemoradiotherapy","NCIT:C94626","NCIT"
"27","CYTOTOXIC","Cytotoxic Chemotherapy","NCIT:C15681","NCIT"
"28","CYTOTOXIC_CHEMOTHERAPY","Cytotoxic Chemotherapy","NCIT:C15681","NCIT"
"29","Chemo","Chemotherapy","NCIT:C15632","NCIT"
"30","Chemoradiation","Chemoradiotherapy","NCIT:C94626","NCIT"
"31","Chemoradiation*","Chemoradiotherapy","NCIT:C94626","NCIT"
"32","Chemotherapy","Chemotherapy","NCIT:C15632","NCIT"
"33","Combination","PD-1 Ligand Inhibitor;Anti-CTLA-4 Monoclonal Antibody","NCIT:C156893;NCIT:C128036","NCIT;NCIT"
"34","Conformal RT","Radiotherapy, Conformal","OMIT:0020176","OMIT"
"35","DEFINITIVE_SURGICAL_PROCEDURE","Surgical Procedure","NCIT:C15329","NCIT"
"36","DLI","Donor Lymphocyte Infusion","NCIT:C16145","NCIT"
"37","DRUG","Pharmacologic Substance","NCIT:C1909","NCIT"
"38","Dissection","Dissection","NCIT:C15227","NCIT"
"39","ENDOCRINE_THERAPY","Hormone Therapy","NCIT:C15445","NCIT"
"40","EXCISION","Excision","NCIT:C15232","NCIT"
"41","Endocrinotherapy","Hormone Therapy","NCIT:C15445","NCIT"
"42","Farnesyltransferase inhibitor","Farnesyl Transferase Inhibitor","NCIT:C2020","NCIT"
"43","H2 Blockers","Histamine-2 Receptor Antagonist","NCIT:C29702","NCIT"
"44","HEPATECTOMY","Hepatectomy","NCIT:C15249","NCIT"
"45","HER2","HER2 Inhibitor","NCIT:C159156","NCIT"
"46","HORM","Hormone Therapy","NCIT:C15445","NCIT"
"47","HORMONAL_CONTRACEPTIVES","Hormonal Contraception","NCIT:C92808","NCIT"
"48","HORMONE","Hormone Therapy","NCIT:C15445","NCIT"
"49","HORMONE_THERAPY","Hormone Therapy","NCIT:C15445","NCIT"
"50","HYSTERECTOMY","Hysterectomy","NCIT:C15256","NCIT"
"51","ICI","Immune Checkpoint Inhibitor","NCIT:C143250","NCIT"
"52","IDO-1","IDO Inhibitor","NCIT:C141137","NCIT"
"53","IFN","Interferon Therapy","NCIT:C15469","NCIT"
"54","IGRT","Image Guided Radiation Therapy","NCIT:C62727","NCIT"
"55","IMMUNE","Immunotherapy","NCIT:C15262","NCIT"
"56","IMMUNE_TREATMENT","Immunotherapy","NCIT:C15262","NCIT"
"57","IMMUNO","Immunotherapy","NCIT:C15262","NCIT"
"58","IMMUNOSUPPRESSION","Immunosuppressive Therapy","NCIT:C15261","NCIT"
"59","IMMUNOSUPPRESSIVE","Immunosuppressive Therapy","NCIT:C15261","NCIT"
"60","IMMUNOTHERAPY","Immunotherapy","NCIT:C15262","NCIT"
"61","INTRAVESICAL","Intravesical Route of Administration","NCIT:C38278","NCIT"
