"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"% Reduced dose","Percent Unit;Dose Reduced","NCIT:C48570;NCIT:C49505","NCIT;NCIT"
"% reduced dose","Percent Unit;Dose Reduced","NCIT:C48570;NCIT:C49505","NCIT;NCIT"
", mg","Milligram","NCIT:C28253","NCIT"
"1 cycle/2 weeks","Every Two Weeks","NCIT:C71127","NCIT"
">x_CYCLES","Greater Than;Cycle","NCIT:C61584;NCIT:C25472","NCIT;NCIT"
"CYCLES","Cycle","NCIT:C25472","NCIT"
"Continious","Continue","NCIT:C53279","NCIT"
"DAILY","Daily","NCIT:C25473","NCIT"
"DAYS","Day","NCIT:C25301","NCIT"
"DAYS_POST_RESECTION","Day;Post;Resection","NCIT:C25301;NCIT:C38008;NCIT:C158758","NCIT;NCIT;NCIT"
"DOSE","Dose","NCIT:C25488","NCIT"
"DRUG","Pharmacologic Substance","NCIT:C1909","NCIT"
"DURATION","Treatment Duration in Days","NCIT:C198202","NCIT"
"Dose  mg/kg","Milligram per Kilogram per Dose","NCIT:C124458","NCIT"
"END_DAYS","Age in Days at End of Treatment Course","NCIT:C168851","NCIT"
"FRACTIONS","Fraction","NCIT:C25514","NCIT"
"Fx","Fraction","NCIT:C25514","NCIT"
"Gy","Gray","NCIT:C18063","NCIT"
"HD","High;Dose","NCIT:C25227;NCIT:C25488","NCIT;NCIT"
"High-Dose","High;Dose","NCIT:C25227;NCIT:C25488","NCIT;NCIT"
"High-dose","High;Dose","NCIT:C25227;NCIT:C25488","NCIT;NCIT"
"INJECTIONS","Injection Dosing Unit","NCIT:C122632","NCIT"
"Intermediate-dose","Moderate-Dose Treatment","NCIT:C49342","NCIT"
"Intermittent","Intermittent","NCIT:C71325","NCIT"
"LAST_ADMIN","Age in Days at End of Treatment Course","NCIT:C168851","NCIT"
"LD","Low-Dose Treatment","NCIT:C49341","NCIT"
"LINES","Line of Therapy","NCIT:C133518","NCIT"
"Low-dose","Low-Dose Treatment","NCIT:C49341","NCIT"
"Lowered doses","Dose Reduced","NCIT:C49505","NCIT"
"MG","Milligram","NCIT:C28253","NCIT"
"MG/M2","Milligram per Square Meter","NCIT:C67402","NCIT"
"MONTHS","Month","NCIT:C29846","NCIT"
"MULTIPLE","Multiple","NCIT:C17648","NCIT"
"NUMBER","Number","NCIT:C25337","NCIT"
"Once weekly","Once Weekly","NCIT:C64526","NCIT"
"RATE","Rate","NCIT:C25636","NCIT"
"REGIMEN","Treatment Regimen","NCIT:C15697","NCIT"
"SCHEDULE","Schedule","NCIT:C25211","NCIT"
"STAGE","Stage","NCIT:C48308","NCIT"
"START","Age in Days at Start of Treatment Course","NCIT:C168850","NCIT"
"START_AT","Age in Days at Start of Treatment Course","NCIT:C168850","NCIT"
"STOP_AT","Age in Days at End of Treatment Course","NCIT:C168851","NCIT"
"Short Course","Short;Course","NCIT:C25249;NCIT:C25379","NCIT;NCIT"
"TOTAL_DOSE","Cumulative Dose","NCIT:C94394","NCIT"
"TOTAL_FRACTIONS","Fraction","NCIT:C25514","NCIT"
"TYPE","Type","NCIT:C25284","NCIT"
"WEEKS","Week","NCIT:C29844","NCIT"
"WEEKS_ON_STUDY","Week","NCIT:C29844","NCIT"
"XYR","Year","NCIT:C29848","NCIT"
"YEAR","Year","NCIT:C29848","NCIT"
"YRS","Year","NCIT:C29848","NCIT"
"cGy","Centigray","NCIT:C64693","NCIT"
"cycle","Cycle","NCIT:C25472","NCIT"
"cycle/week","Once Weekly","NCIT:C64526","NCIT"
"cycles","Cycle","NCIT:C25472","NCIT"
"day","Day","NCIT:C25301","NCIT"
"days","Day","NCIT:C25301","NCIT"
"dense dose","Dose-dense Chemotherapy","NCIT:C94539","NCIT"
"fractions","Fraction","NCIT:C25514","NCIT"
"greater than x MG","Greater Than;Milligram","NCIT:C61584;NCIT:C28253","NCIT;NCIT"
"greater than x cycles","Greater Than;Cycle","NCIT:C61584;NCIT:C25472","NCIT;NCIT"
"greater than x mths","Greater Than;Month","NCIT:C61584;NCIT:C29846","NCIT;NCIT"
"greater than x years","Greater Than;Year","NCIT:C61584;NCIT:C29848","NCIT;NCIT"
"high dose","High;Dose","NCIT:C25227;NCIT:C25488","NCIT;NCIT"
"injection to brain","Injection Method of Administration","NCIT:C149592","NCIT"
"less than x years","Less Than;Year","NCIT:C61585;NCIT:C29848","NCIT;NCIT"
"low dose","Low-Dose Treatment","NCIT:C49341","NCIT"
"mg","Milligram","NCIT:C28253","NCIT"
"mg/kg","Milligram per Kilogram","NCIT:C67401","NCIT"
"mg/kg-N","Milligram per Kilogram","NCIT:C67401","NCIT"
"mg/kg_PER_INJECTION","Milligram per Kilogram per Dose;Injection Dosing Unit","NCIT:C124458;NCIT:C122632","NCIT;NCIT"
"mg/m2","Milligram per Square Meter","NCIT:C67402","NCIT"
"mg/mL","milligram per milliliter","UO:0000176","UO"
"mg/mL_PER_INJECTION","milligram per milliliter;Injection Dosing Unit","UO:0000176;NCIT:C122632","UO;NCIT"
"ml","Milliliter","NCIT:C28254","NCIT"
"mth","Month","NCIT:C29846","NCIT"
"mths","Month","NCIT:C29846","NCIT"
"therapies","Therapeutic Procedure","NCIT:C49236","NCIT"
"therapy","Therapeutic Procedure","NCIT:C49236","NCIT"
"weekly","Weekly","NCIT:C67069","NCIT"
"x","Number of Occurrences","NCIT:C150827","NCIT"
"x cycle","Cycle","NCIT:C25472","NCIT"
"yrs","Year","NCIT:C29848","NCIT"
