original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id,notes
GCB,http://purl.obolibrary.org/obo/CL_0000844,NCIT,germinal center B cell,CL_0000844,
FIBROBLAST_LUNG,http://purl.obolibrary.org/obo/CL_0002553,CL,fibroblast of lung,CL_0002553,
FIBROBLAST_BREAST,http://purl.obolibrary.org/obo/CL_4006000,CL,fibroblast of breast,CL_4006000,
IMMORTALIZED_EPITHELIAL,http://purl.obolibrary.org/obo/CLO_0000129,CLO,immortal epithelial cell line cell,CLO_0000129,
IMMORTALIZED_FIBROBLAST,http://purl.obolibrary.org/obo/CLO_0000161,CLO,immortal fibroblast cell line cell,CLO_0000161,
IMMORTALIZED_EMBRYONIC_FIBROBLAST,http://purl.obolibrary.org/obo/CLO_0000193,CLO,immortal embryo-derived fibroblast cell line cell,CLO_0000193,
UNDIFFERENTIATED_SARCOMA,http://www.ebi.ac.uk/efo/EFO_0000730,EFO,undifferentiated sarcoma,EFO_0000730,
TESTICULAR CARCINOMA,http://www.ebi.ac.uk/efo/EFO_0005088,EFO,Testicular Carcinoma,EFO_0005088,
NEPHROBLASTOMATOSIS,http://purl.obolibrary.org/obo/HP_0008643,HP,Nephroblastomatosis,HP_0008643,
GASTRIC TYPE MUCINOUS CARCINOMA,http://purl.obolibrary.org/obo/HP_0031498,HP,Mucinous gastric carcinoma,HP_0031498,
TESTICULAR MESOTHELIOMA,http://purl.obolibrary.org/obo/HP_0100005,HP,Testicular mesothelioma,HP_0100005,
UTERINE CORPUS ENDOMETRIAL CARCINOMA OTHER,http://purl.obolibrary.org/obo/MONDO_0000553,MONDO,uterine corpus endometrial carcinoma,MONDO_0000553,
UTERINE CORPUS ENDOMETRIAL CARCINOMA,http://purl.obolibrary.org/obo/MONDO_0000553,MONDO,uterine corpus endometrial carcinoma,MONDO_0000553,
UCEC CSRC,http://purl.obolibrary.org/obo/MONDO_0000553<;>http://purl.obolibrary.org/obo/NCIT_C42700,MONDO<;>NCIT,uterine corpus endometrial carcinoma<;>Uterine Carcinosarcoma,MONDO_0000553<;>NCIT_C42700,
UCEC_CN_HIGH,http://purl.obolibrary.org/obo/MONDO_0000553<;>http://purl.obolibrary.org/obo/NCIT_C49142<;>http://purl.obolibrary.org/obo/NCIT_C25227,MONDO<;>NCIT,uterine corpus endometrial carcinoma<;>Copy Number<;>High,MONDO_0000553<;>NCIT_C49142<;>NCIT_C25227,
UCEC_CN_LOW,http://purl.obolibrary.org/obo/MONDO_0000553<;>http://purl.obolibrary.org/obo/NCIT_C49142<;>http://purl.obolibrary.org/obo/NCIT_C54722,MONDO<;>NCIT,uterine corpus endometrial carcinoma<;>Copy Number<;>Low,MONDO_0000553<;>NCIT_C49142<;>NCIT_C54722,
MIXED OVARIAN CARCINOMA,http://purl.obolibrary.org/obo/MONDO_0004031,MONDO,ovary mixed epithelial carcinoma,MONDO_0004031,
SARCOMATOID CARCINOMA OF THE URINARY BLADDER,http://purl.obolibrary.org/obo/MONDO_0004278,MONDO,infiltrating bladder urothelial carcinoma sarcomatoid variant,MONDO_0004278,
PLASMACYTOID/SIGNET RING CELL BLADDER CARCINOMA,http://purl.obolibrary.org/obo/MONDO_0004416,MONDO,plasmacytoid variant infiltrating bladder urothelial carcinoma,MONDO_0004416,
PLASMACYTOID/SIGNET RING CELL BLADDER CARCINOMAÂ ,http://purl.obolibrary.org/obo/MONDO_0004416,MONDO,plasmacytoid variant infiltrating bladder urothelial carcinoma,MONDO_0004416,
FATTY LIVER DISEASE,http://purl.obolibrary.org/obo/MONDO_0004790,MONDO,fatty liver disease,MONDO_0004790,
UPPER_AERODIGESTIVE,http://purl.obolibrary.org/obo/MONDO_0005398,MONDO,upper aerodigestive tract neoplasm,MONDO_0005398,
UPPER AERODIGESTIVE,http://purl.obolibrary.org/obo/MONDO_0005398,MONDO,upper aerodigestive tract neoplasm,MONDO_0005398,
UPPER_AERODIGESTIVE_CARCINOMA,http://purl.obolibrary.org/obo/MONDO_0005398,MONDO,upper aerodigestive tract neoplasm,MONDO_0005398,
UPPER_AERODIGESTIVE_SQUAMOUS,http://purl.obolibrary.org/obo/MONDO_0005398<;>http://purl.obolibrary.org/obo/NCIT_C4833,MONDO,upper aerodigestive tract neoplasm<;>Oral Cavity Squamous Cell Carcinoma,MONDO_0005398<;>NCIT_C4833,
THYROID_SQUAMOUS,http://purl.obolibrary.org/obo/MONDO_0006467,MONDO,thyroid gland squamous cell carcinoma,MONDO_0006467,
THYROID_SQUAMOUS_CELL_CARCINOMA,http://purl.obolibrary.org/obo/MONDO_0006467,MONDO,thyroid gland squamous cell carcinoma,MONDO_0006467,
SKIN ADNEXAL CARCINOMA,http://purl.obolibrary.org/obo/MONDO_0006973,MONDO,skin appendage carcinoma,MONDO_0006973,
UTERINE UNDIFFERENTIATED CARCINOMA,http://purl.obolibrary.org/obo/MONDO_0016267,MONDO,undifferentiated carcinoma of the corpus uteri,MONDO_0016267,
OVARIAN FIBROTHECOMA,http://purl.obolibrary.org/obo/MONDO_0017802,MONDO,Ovarian Fibrothecoma,MONDO_0017802,
THYMIC NEUROENDOCRINE TUMOR,http://purl.obolibrary.org/obo/MONDO_0019964,MONDO,thymic neuroendocrine tumor,MONDO_0019964,
MYXOID/ROUND-CELL LIPOSARCOMA,http://purl.obolibrary.org/obo/MONDO_0020561,MONDO,myxoid/round cell liposarcoma,MONDO_0020561,
