"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"ABSTRACTION_PENDING","Chart Abstraction;Pending","NCIT:C113748;NCIT:C53470","NCIT;NCIT"
"ADC","Antibody-Drug Conjugate Therapy","NCIT:C15508","NCIT"
"ADC_THERAPY","Antibody-Drug Conjugate Therapy","NCIT:C15508","NCIT"
"ADT","Antiandrogen Therapy","NCIT:C15481","NCIT"
"ALKYLATING","Alkylating Agent","NCIT:C223","NCIT"
"ALKYLATING AGENT","Alkylating Agent","NCIT:C223","NCIT"
"ALKYLATING_AGENT","Alkylating Agent","NCIT:C223","NCIT"
"ALKYLATING_CHEMOTHERAPY","Alkylating Agent","NCIT:C223","NCIT"
"ANDROGEN_DEPRIVATION_THERAPY","Antiandrogen Therapy","NCIT:C15481","NCIT"
"ANTIMETABOLITE","Antimetabolite","NCIT:C272","NCIT"
"Alkylating Chemo","Alkylating Agent","NCIT:C223","NCIT"
"Alkylating Chemoradiation","Alkylating Agent;Chemoradiotherapy","NCIT:C223;NCIT:C94626","NCIT;NCIT"
"Antacids","Anti-ulcer Agent","NCIT:C29701","NCIT"
"BIOLOGIC","Biological Agent","NCIT:C307","NCIT"
"BRACHYTHERAPY","Brachytherapy","NCIT:C15195","NCIT"
"BREAST_SURGERY","Breast Surgery","NCIT:C157802","NCIT"
"Bone Marrow Transplant","Bone Marrow Transplantation","NCIT:C15194","NCIT"
"Bone marrow transplant","Bone Marrow Transplantation","NCIT:C15194","NCIT"
"CHEMO","Chemotherapy","NCIT:C15632","NCIT"
"CHEMOTHERAPY","Chemotherapy","NCIT:C15632","NCIT"
"CONTRACEPTION","Contraception","NCIT:C37932","NCIT"
"CRT","Chemoradiotherapy","NCIT:C94626","NCIT"
"CT","Chemotherapy","NCIT:C15632","NCIT"
"CTLA-4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"CTLA4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"CTRT","Chemoradiotherapy","NCIT:C94626","NCIT"
"CYTOTOXIC","Cytotoxic Chemotherapy","NCIT:C15681","NCIT"
"CYTOTOXIC_CHEMOTHERAPY","Cytotoxic Chemotherapy","NCIT:C15681","NCIT"
"Chemo","Chemotherapy","NCIT:C15632","NCIT"
