original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id
SAN,http://purl.obolibrary.org/obo/NCIT_C41263;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,South Asian;Asian,NCIT_C41263;NCIT_C41260
MIXED,,,,
OTHERS,,,,
"AMERICAN INDIAN, BLACK, WHITE, OTHER",http://purl.obolibrary.org/obo/NCIT_C41259;http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/NCIT_C128938,NCIT,American Indian or Alaska Native;White;Black,NCIT_C41259;NCIT_C41261;NCIT_C128938
"AMERICAN INDIAN, WHITE",http://purl.obolibrary.org/obo/NCIT_C41259;http://purl.obolibrary.org/obo/NCIT_C41261,NCIT,American Indian or Alaska Native;White,NCIT_C41259;NCIT_C41261
EAST INDIAN,http://purl.obolibrary.org/obo/NCIT_C41262;http://purl.obolibrary.org/obo/NCIT_C41260,NCIT,Asian Indian;Asian,NCIT_C41262;NCIT_C41260
SPANISH NOS,http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
HISPNATIVE,http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
ADMIXEDBLACK,http://purl.obolibrary.org/obo/NCIT_C128938;http://purl.obolibrary.org/obo/HANCESTRO_0306,NCIT,Black;admixed ancestry,NCIT_C128938;HANCESTRO_0306
ADMIXEDASIAN,http://purl.obolibrary.org/obo/NCIT_C41260;http://purl.obolibrary.org/obo/HANCESTRO_0306,NCIT,Asian;admixed ancestry,NCIT_C41260;HANCESTRO_0306
ADMIXEDWHITE,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/HANCESTRO_0306,NCIT,White;admixed ancestry,NCIT_C41261;HANCESTRO_0306
SOUTH OR CENTRAL AMERICAN EXCEPT BRAZIL,http://purl.obolibrary.org/obo/NCIT_C77818;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,White South or Central American;Hispanic or Latino,NCIT_C77818;NCIT_C17459
SOUTH OR CENTRAL AMERICAN,http://purl.obolibrary.org/obo/NCIT_C77818;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,White South or Central American;Hispanic or Latino,NCIT_C77818;NCIT_C17459
"SPANISH, NOS",http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
SOUTH/CENTRAL AMERICA EXCEPT BRAZIL,http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,Hispanic or Latino,NCIT_C17459
SOUTHASIANORHISPANIC,,,,
NON-CAUCASIAN,,,,
"AMERICAN INDIAN, ALEUTIAN, OR ESKIMO INCLUDES ALL INDIGENOUS POPULATIONS OF THE WESTERN HEMISPHERE",http://purl.obolibrary.org/obo/GSSO_008274,GSSO,American Indigenous person,GSSO_008274
NATIVE AMERICAN-AM IND/ALASKA,http://purl.obolibrary.org/obo/NCIT_C41259,NCIT,American Indian or Alaska Native,NCIT_C41259
WHITE/EUROPE,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/NCIT_C43851,NCIT,White;European,NCIT_C41261;NCIT_C43851
BLACK/SUB-SAHARAN AFRICA,http://purl.obolibrary.org/obo/NCIT_C128938;http://purl.obolibrary.org/obo/NCIT_C153346,NCIT,Black;Sub-Saharan African,NCIT_C128938;NCIT_C153346
WHITE/LATIN AMERICA,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/NCIT_C17459,NCIT,White;Hispanic or Latino,NCIT_C41261;NCIT_C17459
WHITE/NORTH AFRICA,http://purl.obolibrary.org/obo/NCIT_C41261;http://purl.obolibrary.org/obo/NCIT_C126529,NCIT,White;North African,NCIT_C41261;NCIT_C126529
