"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"Adrenocortical Carcinoma","Adrenocortical carcinoma","HP:0006744","HP"
"Skin Cancer, Non-Melanoma","Skin Carcinoma","NCIT:C4914","NCIT"
"Ampullary Carcinoma","Ampulla of Vater Carcinoma","NCIT:C3908","NCIT"
"Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","NCIT:C39851","NCIT"
"B-Lymphoblastic Leukemia/Lymphoma","B Lymphoblastic Leukemia/Lymphoma","NCIT:C8936","NCIT"
"Adenoid Cystic Carcinoma","Adenoid Cystic Carcinoma","NCIT:C2970","NCIT"
"Acute Lymphoid Leukemia","Acute Lymphoblastic Leukemia","NCIT:C3167","NCIT"
"Angiosarcoma","Angiosarcoma","NCIT:C3088","NCIT"
"Acute Myeloid Leukemia","Acute Myeloid Leukemia","NCIT:C3171","NCIT"
"Benign Phyllodes Tumor of the Breast","Benign Breast Phyllodes Tumor","NCIT:C5196","NCIT"
"Borderline Phyllodes Tumor of the Breast","Borderline Breast Phyllodes Tumor","NCIT:C5316","NCIT"
"Malignant Phyllodes Tumor of the Breast","Malignant Breast Phyllodes Tumor","NCIT:C4504","NCIT"
"Bladder/Urinary Tract",NA,NA,NA
"Breast Invasive Ductal Carcinoma","invasive breast ductal carcinoma","EFO:0000186","EFO"
"Breast Mixed Ductal and Lobular Carcinoma","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT"
"Breast","Breast","NCIT:C12971","NCIT"
"Breast Invasive Mixed Mucinous Carcinoma","breast mucinous carcinoma","MONDO:0002707","MONDO"
"Breast Invasive Lobular Carcinoma","invasive lobular carcinoma","EFO:0000553","EFO"
"Paget Disease of the Nipple","Paget disease of the nipple","MONDO:0015873","MONDO"
"Adenoid Cystic Breast Cancer","Adenoid Cystic Breast Carcinoma","EFO:1000071","EFO"
"Invasive Breast Carcinoma","Invasive Breast Carcinoma","NCIT:C9245","NCIT"
"Basal Cell Carcinoma","Basal Cell Carcinoma","NCIT:C156767","NCIT"
NA,NA,NA,NA
"Metaplastic Breast Cancer","metaplastic breast carcinoma","MONDO:0006043","MONDO"
"Solid Papillary Carcinoma of the Breast","Breast Solid Papillary Carcinoma","NCIT:C6870","NCIT"
"Breast Invasive Carcinoma, NOS",NA,NA,NA
"Invasive Breast Cancer","Invasive Breast Carcinoma","NCIT:C9245","NCIT"
"Infiltrating Ductal Carcinoma","invasive breast ductal carcinoma","EFO:0000186","EFO"
"Ductal Carcinoma In Situ (DCIS)","Breast Ductal Carcinoma In Situ","NCIT:C2924","NCIT"
"Mucinous Carcinoma","mucinous carcinoma","EFO:0000197","EFO"
"Infiltrating Tubular Carcinoma",NA,NA,NA
"Mixed Carcinoma","Mixed Carcinoma","NCIT:C165723","NCIT"
"Infiltrating Lobular Carcinoma",NA,NA,NA
"Medullary Breast Carcinoma","medullary breast carcinoma","EFO:0000580","EFO"
"Glioblastoma Multiforme","Glioblastoma multiforme","HP:0012174","HP"
"Osteosarcoma","Osteosarcoma","NCIT:C9145","NCIT"
"Prostate Adenocarcinoma","Prostate Adenocarcinoma","NCIT:C2919","NCIT"
"Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","NCIT:C4024","NCIT"
"Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor","Ovarian Carcinosarcoma","EFO:1000412","EFO"
"Acute Undifferentiated Leukemia","Acute Undifferentiated Leukemia","NCIT:C9298","NCIT"
"Renal Clear Cell Carcinoma","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT"
"Poorly Differentiated Thyroid Cancer","Poorly Differentiated Thyroid Gland Carcinoma","EFO:1000489","EFO"
"Cutaneous Melanoma","Cutaneous Melanoma","NCIT:C3510","NCIT"
"Embryonal Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma","NCIT:C8971","NCIT"
"Mixed Cancer Types",NA,NA,NA
"Diffuse Large B-Cell Lymphoma, NOS",NA,NA,NA
"Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer Pathway","NCIT:C91445","NCIT"
"Ewing Sarcoma","Ewing Sarcoma","NCIT:C4817","NCIT"
"Pleural Mesothelioma, Epithelioid Type",NA,NA,NA
"Hepatocellular Carcinoma","Hepatocellular Carcinoma","NCIT:C3099","NCIT"
"Plasma Cell Myeloma","Plasma Cell Myeloma","NCIT:C3242","NCIT"
"Endometrial Carcinoma","Endometrial Carcinoma","NCIT:C7558","NCIT"
"Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","NCIT:C8294","NCIT"
"Esophageal Poorly Differentiated Carcinoma",NA,NA,NA
"Burkitt Lymphoma","Burkitt Lymphoma","NCIT:C2912","NCIT"
"Chronic Myelogenous Leukemia","Chronic myelogenous leukemia","HP:0005506","HP"
"Colorectal Adenocarcinoma","Colorectal Adenocarcinoma","NCIT:C5105","NCIT"
"Chondrosarcoma","Chondrosarcoma","NCIT:C2946","NCIT"
"Peripheral Nervous System","Peripheral Nervous System","NCIT:C12465","NCIT"
"Small Cell Lung Cancer","Small Cell Lung Cancer Pathway","NCIT:C91502","NCIT"
"Esophageal Adenocarcinoma","Esophageal Adenocarcinoma","NCIT:C4025","NCIT"
"Medulloblastoma","Medulloblastoma","NCIT:C3222","NCIT"
