original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id
SALIVARY GLAND,http://purl.obolibrary.org/obo/NCIT_C12426,NCIT,Salivary Gland,NCIT_C12426
LUNG,http://purl.obolibrary.org/obo/NCIT_C12468,NCIT,Lung,NCIT_C12468
BUCCAL MUCOSA,http://purl.obolibrary.org/obo/NCIT_C12505,NCIT,Buccal Mucosa,NCIT_C12505
ORBITAL CAVITY,http://purl.obolibrary.org/obo/NCIT_C12347,NCIT,Orbit,NCIT_C12347
HARD PALATE,http://purl.obolibrary.org/obo/NCIT_C12230,NCIT,Hard Palate,NCIT_C12230
LARYNX,http://purl.obolibrary.org/obo/NCIT_C12420,NCIT,Larynx,NCIT_C12420
STERNUM,http://purl.obolibrary.org/obo/NCIT_C12793,NCIT,Sternum,NCIT_C12793
LIVER,http://purl.obolibrary.org/obo/NCIT_C12392,NCIT,Liver,NCIT_C12392
BRAIN,http://purl.obolibrary.org/obo/NCIT_C12439,NCIT,Brain,NCIT_C12439
FLOOR OF MOUTH,http://purl.obolibrary.org/obo/NCIT_C54187,NCIT,Floor of Mouth,NCIT_C54187
SOFT PALATE,http://purl.obolibrary.org/obo/NCIT_C12231,NCIT,Soft Palate,NCIT_C12231
PAROTID GLAND,http://purl.obolibrary.org/obo/NCIT_C12427,NCIT,Parotid Gland,NCIT_C12427
SUBMANDIBULAR GLAND,http://purl.obolibrary.org/obo/NCIT_C12233,NCIT,Submandibular Gland,NCIT_C12233
MAXILLA,http://purl.obolibrary.org/obo/NCIT_C26470,NCIT,Maxilla,NCIT_C26470
OROPHARYNX,http://purl.obolibrary.org/obo/NCIT_C12762,NCIT,Oropharynx,NCIT_C12762
PALATE,http://purl.obolibrary.org/obo/NCIT_C12229,NCIT,Palate,NCIT_C12229
LYMPH NODE,http://purl.obolibrary.org/obo/NCIT_C12745,NCIT,Lymph Node,NCIT_C12745
TONGUE,http://purl.obolibrary.org/obo/NCIT_C12422,NCIT,Tongue,NCIT_C12422
BASE OF TONGUE,http://purl.obolibrary.org/obo/NCIT_C12228,NCIT,Base of the Tongue,NCIT_C12228
BREAST,http://purl.obolibrary.org/obo/NCIT_C12971,NCIT,Breast,NCIT_C12971
METASTASIS,http://purl.obolibrary.org/obo/NCIT_C19151,NCIT,Metastasis,NCIT_C19151
RENAL VEIN,http://purl.obolibrary.org/obo/NCIT_C33462,NCIT,Renal Vein,NCIT_C33462
BLADDER,http://purl.obolibrary.org/obo/NCIT_C12414,NCIT,Bladder,NCIT_C12414
FRONTAL LOBE,http://purl.obolibrary.org/obo/NCIT_C12352,NCIT,Frontal Lobe,NCIT_C12352
SUPRATENTORIAL,http://purl.obolibrary.org/obo/NCIT_C12923,NCIT,Supratentorial,NCIT_C12923
TEMPORAL LOBE,http://purl.obolibrary.org/obo/NCIT_C12353,NCIT,Temporal Lobe,NCIT_C12353
SKULL,http://purl.obolibrary.org/obo/NCIT_C12789,NCIT,Skull,NCIT_C12789
SPINE,http://purl.obolibrary.org/obo/NCIT_C12998,NCIT,Vertebral Column,NCIT_C12998
OCCIPITAL LOBE,http://purl.obolibrary.org/obo/NCIT_C12355,NCIT,Occipital Lobe,NCIT_C12355
PARIETAL LOBE,http://purl.obolibrary.org/obo/NCIT_C12354,NCIT,Parietal Lobe,NCIT_C12354
THALAMUS,http://purl.obolibrary.org/obo/NCIT_C12459,NCIT,Thalamus,NCIT_C12459
MIDLINE,http://purl.obolibrary.org/obo/NCIT_C81170,NCIT,Midline,NCIT_C81170
CORTICAL,http://purl.obolibrary.org/obo/NCIT_C12443,NCIT,Cerebral Cortex,NCIT_C12443
CEREBELLAR,http://purl.obolibrary.org/obo/NCIT_C12445,NCIT,Cerebellum,NCIT_C12445
BASAL GANGLIA,http://purl.obolibrary.org/obo/NCIT_C12447,NCIT,Basal Ganglia,NCIT_C12447
BRAIN STEM,http://purl.obolibrary.org/obo/NCIT_C12441,NCIT,Brain Stem,NCIT_C12441
SPINAL,http://purl.obolibrary.org/obo/NCIT_C38026,NCIT,Spinal,NCIT_C38026
EXTRAHEPATIC,http://purl.obolibrary.org/obo/NCIT_C28358,NCIT,Extrahepatic,NCIT_C28358
INTRAHEPATIC,http://purl.obolibrary.org/obo/NCIT_C13808,NCIT,Intrahepatic,NCIT_C13808
RECTUM,http://purl.obolibrary.org/obo/NCIT_C12390,NCIT,Rectum,NCIT_C12390
CECUM,http://purl.obolibrary.org/obo/NCIT_C12381,NCIT,Cecum,NCIT_C12381
SIGMOID COLON,http://purl.obolibrary.org/obo/NCIT_C12384,NCIT,Sigmoid Colon,NCIT_C12384
ASCENDING COLON,http://purl.obolibrary.org/obo/NCIT_C12265,NCIT,Ascending Colon,NCIT_C12265
DESCENDING COLON,http://purl.obolibrary.org/obo/NCIT_C12268,NCIT,Descending Colon,NCIT_C12268
SPLENIC FLEXURE,http://purl.obolibrary.org/obo/NCIT_C12267,NCIT,Splenic Flexure,NCIT_C12267
DISTAL,http://purl.obolibrary.org/obo/NCIT_C25237,NCIT,Distal,NCIT_C25237
PROXIMAL,http://purl.obolibrary.org/obo/NCIT_C25236,NCIT,Proximal,NCIT_C25236
LOWER,http://purl.obolibrary.org/obo/NCIT_C12255,NCIT,Lower Third of the Esophagus,NCIT_C12255
