"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"SAN","South Asian;Asian","NCIT:C41263;NCIT:C41260","NCIT"
"AMERICAN INDIAN, BLACK, WHITE, OTHER","American Indian or Alaska Native;White;Black","NCIT:C41259;NCIT:C41261;NCIT:C128938","NCIT"
"AMERICAN INDIAN, WHITE","American Indian or Alaska Native;White","NCIT:C41259;NCIT:C41261","NCIT"
"EAST INDIAN","Asian Indian;Asian","NCIT:C41262;NCIT:C41260","NCIT"
"SPANISH NOS","Hispanic or Latino","NCIT:C17459","NCIT"
"HISPNATIVE","Hispanic or Latino","NCIT:C17459","NCIT"
"ADMIXEDBLACK","Black;admixed ancestry","NCIT:C128938;HANCESTRO:0306","NCIT;HANCESTRO"
"ADMIXEDASIAN","Asian;admixed ancestry","NCIT:C41260;HANCESTRO:0306","NCIT;HANCESTRO"
"ADMIXEDWHITE","White;admixed ancestry","NCIT:C41261;HANCESTRO:0306","NCIT;HANCESTRO"
"SOUTH OR CENTRAL AMERICAN EXCEPT BRAZIL","White South or Central American;Hispanic or Latino","NCIT:C77818;NCIT:C17459","NCIT"
"SOUTH OR CENTRAL AMERICAN","White South or Central American;Hispanic or Latino","NCIT:C77818;NCIT:C17459","NCIT"
"SPANISH, NOS","Hispanic or Latino","NCIT:C17459","NCIT"
"SOUTH/CENTRAL AMERICA EXCEPT BRAZIL","Hispanic or Latino","NCIT:C17459","NCIT"
"AMERICAN INDIAN, ALEUTIAN, OR ESKIMO INCLUDES ALL INDIGENOUS POPULATIONS OF THE WESTERN HEMISPHERE","American Indigenous person","GSSO:008274","GSSO"
"NATIVE AMERICAN-AM IND/ALASKA","American Indian or Alaska Native","NCIT:C41259","NCIT"
"WHITE/EUROPE","White;European","NCIT:C41261;NCIT:C43851","NCIT"
"BLACK/SUB-SAHARAN AFRICA","Black;Sub-Saharan African","NCIT:C128938;NCIT:C153346","NCIT"
"WHITE/LATIN AMERICA","White;Hispanic or Latino","NCIT:C41261;NCIT:C17459","NCIT"
"WHITE/NORTH AFRICA","White;North African","NCIT:C41261;NCIT:C126529","NCIT"
"W/NAT AMER","White;American Indian or Alaska Native","NCIT:C41261;NCIT:C41259","NCIT"
"AMERICAN INDIAN, ALEUTIAN, ESKIMO","American Indian or Alaska Native;Aleutian;Eskimo","NCIT:C41259;NCIT:C43389;NCIT:C43390","NCIT"
"ASIAN INDIAN PAKISTANI","Asian Indian;Pakistani;Asian","NCIT:C41262;NCIT:C43427;NCIT:C41260","NCIT"
"EASTASIAN","East Asian;Asian","NCIT:C161419;NCIT:C41260","NCIT"
"ASIAN: FAR EAST/INDIAN","East Asian;Asian Indian;Asian","NCIT:C161419;NCIT:C41262;NCIT:C41260","NCIT"
"WHITE-BRITISH","White;British","NCIT:C41261;HANCESTRO:0462","NCIT;HANCESTRO"
"WHITE-IRISH","White;Irish","NCIT:C41261;NCIT:C43856","NCIT"
"BLACK/AFRICAN, WHITE/CAUCASIAN","African;Black;White","NCIT:C42331;NCIT:C128938;NCIT:C41261","NCIT"
